physician_id,segment,specialty,region,formulary_tier,adoption_status,adoption_rate_pct,adopted_therapy,patient_panel_size,adopted_patients_est,untapped_patients_est,rep_visit_frequency_q,rep_coverage_band,digital_engagement_score,engagement_band,peer_influence_score,competitor_loyalty_score,patient_oop_cost_estimate,cost_band,pct_medicare_patients,years_in_practice,tenure_band
PHY100019,"White Space (High Potential, Under-Engaged)",Primary Care,Midwest,1 - Preferred (low copay),Not adopted,5.4,0,175.0,9.0,166.0,3,Medium (2-3/qtr),45.0,Medium,35.2,54.3,79.0,Medium ($50-100),43.7,16.0,Senior (16+ yrs)
PHY100020,"White Space (High Potential, Under-Engaged)",Primary Care,Northeast,1 - Preferred (low copay),Not adopted,8.3,0,164.0,14.0,150.0,1,Low (0-1/qtr),50.2,Medium,67.6,48.0,48.0,Low ($0-50),23.2,22.0,Senior (16+ yrs)
PHY100021,Advocates (High Adopters),Endocrinology,South,2 - Standard,Not adopted,39.7,0,227.0,90.0,137.0,8,High (4+/qtr),0.0,Low,84.6,21.3,80.0,Medium ($50-100),15.5,13.0,Mid (6-15 yrs)
PHY100022,Access-Constrained,Internal Medicine,Midwest,2 - Standard,Adopted,9.2,1,88.0,8.0,80.0,3,Medium (2-3/qtr),45.8,Medium,38.3,27.1,82.0,Medium ($50-100),27.3,18.0,Senior (16+ yrs)
PHY100023,Access-Constrained,Internal Medicine,South,2 - Standard,Adopted,3.5,1,149.0,5.0,144.0,2,Medium (2-3/qtr),33.4,Medium,13.3,24.4,84.0,Medium ($50-100),46.5,9.0,Mid (6-15 yrs)
PHY100024,"White Space (High Potential, Under-Engaged)",Primary Care,West,1 - Preferred (low copay),Not adopted,5.3,0,221.0,12.0,209.0,2,Medium (2-3/qtr),70.2,High,60.0,76.1,89.0,Medium ($50-100),48.4,13.0,Mid (6-15 yrs)
PHY100025,"White Space (High Potential, Under-Engaged)",Cardiology,Northeast,2 - Standard,Not adopted,18.8,0,143.0,27.0,116.0,2,Medium (2-3/qtr),71.9,High,43.4,60.6,26.0,Low ($0-50),17.5,3.0,Early (0-5 yrs)
PHY100026,Access-Constrained,Primary Care,South,2 - Standard,Not adopted,8.2,0,83.0,7.0,76.0,1,Low (0-1/qtr),62.7,Medium,47.4,32.8,86.0,Medium ($50-100),23.3,1.0,Early (0-5 yrs)
PHY100027,"White Space (High Potential, Under-Engaged)",Cardiology,Northeast,1 - Preferred (low copay),Not adopted,37.4,0,220.0,82.0,138.0,2,Medium (2-3/qtr),58.7,Medium,61.1,38.7,58.0,Medium ($50-100),27.2,21.0,Senior (16+ yrs)
PHY100028,Access-Constrained,Cardiology,West,2 - Standard,Not adopted,10.7,0,247.0,26.0,221.0,2,Medium (2-3/qtr),17.1,Low,40.9,33.5,51.0,Medium ($50-100),32.6,7.0,Mid (6-15 yrs)
PHY100029,Access-Constrained,Primary Care,Midwest,2 - Standard,Not adopted,11.2,0,177.0,20.0,157.0,4,High (4+/qtr),63.0,Medium,44.6,32.3,102.0,High ($100+),17.6,11.0,Mid (6-15 yrs)
PHY100030,Advocates (High Adopters),Primary Care,South,2 - Standard,Not adopted,5.5,0,62.0,3.0,59.0,4,High (4+/qtr),63.8,Medium,48.0,59.2,67.0,Medium ($50-100),16.7,4.0,Early (0-5 yrs)
PHY100031,Access-Constrained,Internal Medicine,South,3 - Restricted (high copay),Not adopted,7.1,0,222.0,16.0,206.0,2,Medium (2-3/qtr),77.4,High,79.4,44.2,101.0,High ($100+),25.7,4.0,Early (0-5 yrs)
PHY100032,Access-Constrained,Endocrinology,Midwest,2 - Standard,Not adopted,6.9,0,80.0,6.0,74.0,2,Medium (2-3/qtr),96.6,High,50.6,91.6,131.0,High ($100+),39.3,13.0,Mid (6-15 yrs)
PHY100033,Access-Constrained,Endocrinology,South,2 - Standard,Not adopted,2.0,0,199.0,4.0,195.0,2,Medium (2-3/qtr),12.8,Low,25.3,75.0,110.0,High ($100+),20.3,9.0,Mid (6-15 yrs)
PHY100034,Advocates (High Adopters),Primary Care,South,1 - Preferred (low copay),Not adopted,6.0,0,127.0,8.0,119.0,4,High (4+/qtr),41.5,Medium,26.1,76.2,74.0,Medium ($50-100),36.3,17.0,Senior (16+ yrs)
PHY100035,"White Space (High Potential, Under-Engaged)",Cardiology,South,1 - Preferred (low copay),Not adopted,16.1,0,110.0,18.0,92.0,2,Medium (2-3/qtr),33.7,Medium,52.8,63.4,70.0,Medium ($50-100),53.9,17.0,Senior (16+ yrs)
PHY100036,Advocates (High Adopters),Cardiology,South,1 - Preferred (low copay),Not adopted,20.9,0,153.0,32.0,121.0,4,High (4+/qtr),53.8,Medium,27.4,41.5,56.0,Medium ($50-100),18.5,16.0,Senior (16+ yrs)
PHY100037,Access-Constrained,Primary Care,West,3 - Restricted (high copay),Not adopted,0.3,0,169.0,1.0,168.0,0,Low (0-1/qtr),50.3,Medium,18.8,62.0,160.0,High ($100+),34.9,16.0,Senior (16+ yrs)
PHY100038,Access-Constrained,Endocrinology,Midwest,3 - Restricted (high copay),Not adopted,2.0,0,141.0,3.0,138.0,5,High (4+/qtr),44.9,Medium,62.7,43.0,130.0,High ($100+),53.4,25.0,Senior (16+ yrs)
PHY100039,"White Space (High Potential, Under-Engaged)",Primary Care,South,1 - Preferred (low copay),Not adopted,18.4,0,215.0,40.0,175.0,3,Medium (2-3/qtr),72.6,High,63.7,82.6,41.0,Low ($0-50),31.7,7.0,Mid (6-15 yrs)
PHY100040,"White Space (High Potential, Under-Engaged)",Primary Care,Northeast,1 - Preferred (low copay),Not adopted,3.8,0,153.0,6.0,147.0,3,Medium (2-3/qtr),25.8,Low,42.6,58.1,25.0,Low ($0-50),29.4,14.0,Mid (6-15 yrs)
PHY100041,Advocates (High Adopters),Internal Medicine,West,2 - Standard,Not adopted,5.8,0,239.0,14.0,225.0,7,High (4+/qtr),27.1,Low,55.9,55.2,99.0,Medium ($50-100),55.5,22.0,Senior (16+ yrs)
PHY100042,Access-Constrained,Primary Care,South,2 - Standard,Not adopted,13.3,0,197.0,26.0,171.0,2,Medium (2-3/qtr),27.5,Low,53.8,52.5,84.0,Medium ($50-100),33.4,23.0,Senior (16+ yrs)
PHY100043,"White Space (High Potential, Under-Engaged)",Endocrinology,Midwest,2 - Standard,Not adopted,4.1,0,138.0,6.0,132.0,0,Low (0-1/qtr),42.1,Medium,62.0,84.8,49.0,Low ($0-50),54.6,4.0,Early (0-5 yrs)
PHY100044,Access-Constrained,Internal Medicine,Northeast,2 - Standard,Not adopted,3.0,0,128.0,4.0,124.0,1,Low (0-1/qtr),23.0,Low,62.1,21.3,96.0,Medium ($50-100),44.4,12.0,Mid (6-15 yrs)
PHY100045,Access-Constrained,Internal Medicine,West,3 - Restricted (high copay),Not adopted,0.7,0,81.0,1.0,80.0,4,High (4+/qtr),48.9,Medium,0.0,86.8,103.0,High ($100+),32.9,24.0,Senior (16+ yrs)
PHY100046,"White Space (High Potential, Under-Engaged)",Endocrinology,Midwest,1 - Preferred (low copay),Not adopted,10.1,0,197.0,20.0,177.0,3,Medium (2-3/qtr),46.4,Medium,45.2,46.3,73.0,Medium ($50-100),45.2,18.0,Senior (16+ yrs)
PHY100047,Access-Constrained,Endocrinology,South,2 - Standard,Not adopted,4.9,0,159.0,8.0,151.0,2,Medium (2-3/qtr),32.7,Low,60.4,21.9,96.0,Medium ($50-100),42.8,15.0,Mid (6-15 yrs)
PHY100048,"White Space (High Potential, Under-Engaged)",Primary Care,Northeast,2 - Standard,Not adopted,22.2,0,38.0,8.0,30.0,3,Medium (2-3/qtr),69.2,High,41.8,35.0,70.0,Medium ($50-100),53.3,12.0,Mid (6-15 yrs)
PHY100049,Advocates (High Adopters),Cardiology,West,2 - Standard,Not adopted,26.0,0,148.0,38.0,110.0,4,High (4+/qtr),48.7,Medium,50.7,17.0,101.0,High ($100+),29.8,11.0,Mid (6-15 yrs)
PHY100050,Access-Constrained,Cardiology,Northeast,3 - Restricted (high copay),Adopted,9.1,1,126.0,11.0,115.0,4,High (4+/qtr),73.4,High,65.0,63.1,98.0,Medium ($50-100),38.6,16.0,Senior (16+ yrs)
PHY100051,"White Space (High Potential, Under-Engaged)",Cardiology,Northeast,1 - Preferred (low copay),Adopted,17.4,1,275.0,48.0,227.0,1,Low (0-1/qtr),45.7,Medium,51.6,29.2,49.0,Low ($0-50),37.1,12.0,Mid (6-15 yrs)
PHY100052,"White Space (High Potential, Under-Engaged)",Primary Care,West,2 - Standard,Not adopted,6.4,0,78.0,5.0,73.0,1,Low (0-1/qtr),49.5,Medium,80.2,53.4,72.0,Medium ($50-100),48.6,14.0,Mid (6-15 yrs)
PHY100053,Access-Constrained,Primary Care,West,2 - Standard,Not adopted,8.4,0,94.0,8.0,86.0,3,Medium (2-3/qtr),37.6,Medium,72.5,72.7,113.0,High ($100+),22.6,15.0,Mid (6-15 yrs)
PHY100054,Access-Constrained,Primary Care,Northeast,3 - Restricted (high copay),Not adopted,2.4,0,247.0,6.0,241.0,2,Medium (2-3/qtr),49.8,Medium,47.6,36.6,103.0,High ($100+),53.3,9.0,Mid (6-15 yrs)
PHY100055,Access-Constrained,Primary Care,South,2 - Standard,Not adopted,0.8,0,261.0,2.0,259.0,2,Medium (2-3/qtr),65.7,Medium,46.0,44.6,119.0,High ($100+),45.0,18.0,Senior (16+ yrs)
PHY100056,Access-Constrained,Primary Care,South,2 - Standard,Not adopted,5.4,0,135.0,7.0,128.0,4,High (4+/qtr),41.0,Medium,0.0,23.9,130.0,High ($100+),18.2,34.0,Senior (16+ yrs)
PHY100057,Access-Constrained,Primary Care,West,3 - Restricted (high copay),Not adopted,2.3,0,142.0,3.0,139.0,2,Medium (2-3/qtr),61.4,Medium,43.5,42.2,92.0,Medium ($50-100),56.1,2.0,Early (0-5 yrs)
PHY100058,Access-Constrained,Cardiology,Midwest,3 - Restricted (high copay),Not adopted,0.9,0,217.0,2.0,215.0,2,Medium (2-3/qtr),32.1,Low,22.9,100.0,37.0,Low ($0-50),71.5,16.0,Senior (16+ yrs)
PHY100059,Access-Constrained,Cardiology,South,2 - Standard,Not adopted,18.6,0,40.0,7.0,33.0,5,High (4+/qtr),66.7,High,54.4,65.6,111.0,High ($100+),53.0,9.0,Mid (6-15 yrs)
PHY100060,Access-Constrained,Primary Care,South,3 - Restricted (high copay),Not adopted,2.3,0,68.0,2.0,66.0,3,Medium (2-3/qtr),37.2,Medium,53.1,44.7,101.0,High ($100+),59.4,18.0,Senior (16+ yrs)
PHY100061,Advocates (High Adopters),Primary Care,South,1 - Preferred (low copay),Adopted,51.6,1,163.0,84.0,79.0,7,High (4+/qtr),68.7,High,63.9,37.8,38.0,Low ($0-50),39.3,14.0,Mid (6-15 yrs)
PHY100062,"White Space (High Potential, Under-Engaged)",Primary Care,West,2 - Standard,Not adopted,9.0,0,273.0,25.0,248.0,0,Low (0-1/qtr),51.3,Medium,77.9,49.1,70.0,Medium ($50-100),13.1,19.0,Senior (16+ yrs)
PHY100063,Access-Constrained,Primary Care,South,3 - Restricted (high copay),Not adopted,2.9,0,154.0,4.0,150.0,3,Medium (2-3/qtr),83.5,High,49.5,52.6,100.0,Medium ($50-100),10.3,22.0,Senior (16+ yrs)
PHY100064,Access-Constrained,Primary Care,Northeast,2 - Standard,Not adopted,10.0,0,186.0,19.0,167.0,3,Medium (2-3/qtr),24.6,Low,95.6,41.6,117.0,High ($100+),41.8,15.0,Mid (6-15 yrs)
PHY100065,Advocates (High Adopters),Primary Care,West,2 - Standard,Not adopted,5.5,0,248.0,14.0,234.0,4,High (4+/qtr),17.5,Low,54.6,60.6,89.0,Medium ($50-100),29.1,22.0,Senior (16+ yrs)
PHY100066,Access-Constrained,Primary Care,West,3 - Restricted (high copay),Not adopted,0.5,0,306.0,2.0,304.0,2,Medium (2-3/qtr),36.4,Medium,23.8,30.9,142.0,High ($100+),24.3,1.0,Early (0-5 yrs)
PHY100067,Access-Constrained,Endocrinology,West,3 - Restricted (high copay),Not adopted,1.3,0,145.0,2.0,143.0,3,Medium (2-3/qtr),19.5,Low,38.8,30.8,122.0,High ($100+),37.1,25.0,Senior (16+ yrs)
PHY100068,Access-Constrained,Cardiology,Northeast,3 - Restricted (high copay),Not adopted,2.5,0,179.0,4.0,175.0,2,Medium (2-3/qtr),19.6,Low,42.5,57.4,102.0,High ($100+),47.2,17.0,Senior (16+ yrs)
PHY100069,Advocates (High Adopters),Primary Care,Northeast,2 - Standard,Not adopted,13.8,0,289.0,40.0,249.0,4,High (4+/qtr),63.7,Medium,61.8,26.6,75.0,Medium ($50-100),16.2,22.0,Senior (16+ yrs)
PHY100070,Access-Constrained,Cardiology,South,3 - Restricted (high copay),Not adopted,1.4,0,89.0,1.0,88.0,1,Low (0-1/qtr),49.9,Medium,31.1,64.6,124.0,High ($100+),31.3,5.0,Early (0-5 yrs)
PHY100071,"White Space (High Potential, Under-Engaged)",Primary Care,Northeast,1 - Preferred (low copay),Not adopted,4.2,0,242.0,10.0,232.0,3,Medium (2-3/qtr),39.4,Medium,44.0,49.7,81.0,Medium ($50-100),60.6,8.0,Mid (6-15 yrs)
PHY100072,Access-Constrained,Internal Medicine,West,2 - Standard,Not adopted,5.6,0,119.0,7.0,112.0,0,Low (0-1/qtr),41.5,Medium,46.8,13.4,110.0,High ($100+),21.9,15.0,Mid (6-15 yrs)
PHY100073,Advocates (High Adopters),Endocrinology,Midwest,2 - Standard,Not adopted,2.2,0,186.0,4.0,182.0,4,High (4+/qtr),36.9,Medium,41.0,52.2,78.0,Medium ($50-100),51.0,14.0,Mid (6-15 yrs)
PHY100074,Access-Constrained,Cardiology,South,3 - Restricted (high copay),Not adopted,22.2,0,165.0,37.0,128.0,6,High (4+/qtr),86.3,High,66.2,16.3,114.0,High ($100+),30.7,16.0,Senior (16+ yrs)
PHY100075,Access-Constrained,Endocrinology,West,3 - Restricted (high copay),Not adopted,2.3,0,123.0,3.0,120.0,2,Medium (2-3/qtr),33.8,Medium,62.8,63.9,125.0,High ($100+),46.2,22.0,Senior (16+ yrs)
PHY100076,Access-Constrained,Endocrinology,Midwest,2 - Standard,Not adopted,5.1,0,121.0,6.0,115.0,1,Low (0-1/qtr),20.9,Low,73.3,45.0,75.0,Medium ($50-100),54.5,2.0,Early (0-5 yrs)
PHY100077,"White Space (High Potential, Under-Engaged)",Primary Care,Midwest,2 - Standard,Not adopted,3.5,0,197.0,7.0,190.0,0,Low (0-1/qtr),67.5,High,43.4,87.0,57.0,Medium ($50-100),49.1,21.0,Senior (16+ yrs)
PHY100078,"White Space (High Potential, Under-Engaged)",Primary Care,South,2 - Standard,Not adopted,13.6,0,240.0,33.0,207.0,3,Medium (2-3/qtr),45.3,Medium,74.1,71.4,65.0,Medium ($50-100),51.6,14.0,Mid (6-15 yrs)
PHY100079,Access-Constrained,Primary Care,South,2 - Standard,Not adopted,28.2,0,172.0,49.0,123.0,3,Medium (2-3/qtr),94.9,High,22.7,28.8,79.0,Medium ($50-100),20.7,13.0,Mid (6-15 yrs)
PHY100080,Access-Constrained,Primary Care,Midwest,2 - Standard,Not adopted,5.5,0,184.0,10.0,174.0,4,High (4+/qtr),38.4,Medium,22.2,9.6,102.0,High ($100+),54.7,4.0,Early (0-5 yrs)
PHY100081,Advocates (High Adopters),Primary Care,South,1 - Preferred (low copay),Adopted,10.8,1,214.0,23.0,191.0,4,High (4+/qtr),68.6,High,25.7,34.9,91.0,Medium ($50-100),25.2,18.0,Senior (16+ yrs)
PHY100082,"White Space (High Potential, Under-Engaged)",Internal Medicine,West,2 - Standard,Not adopted,11.7,0,122.0,14.0,108.0,1,Low (0-1/qtr),73.8,High,50.2,25.6,51.0,Medium ($50-100),41.9,1.0,Early (0-5 yrs)
PHY100083,Access-Constrained,Cardiology,South,3 - Restricted (high copay),Not adopted,2.8,0,224.0,6.0,218.0,1,Low (0-1/qtr),38.5,Medium,74.0,86.5,95.0,Medium ($50-100),41.9,19.0,Senior (16+ yrs)
PHY100084,Advocates (High Adopters),Cardiology,Northeast,2 - Standard,Not adopted,6.2,0,229.0,14.0,215.0,4,High (4+/qtr),33.7,Medium,38.0,49.8,76.0,Medium ($50-100),45.3,4.0,Early (0-5 yrs)
PHY100085,Access-Constrained,Cardiology,Midwest,3 - Restricted (high copay),Not adopted,3.0,0,336.0,10.0,326.0,1,Low (0-1/qtr),66.3,High,40.5,68.7,130.0,High ($100+),43.1,14.0,Mid (6-15 yrs)
PHY100086,"White Space (High Potential, Under-Engaged)",Primary Care,Midwest,2 - Standard,Not adopted,8.2,0,157.0,13.0,144.0,1,Low (0-1/qtr),62.6,Medium,45.7,44.3,72.0,Medium ($50-100),25.3,13.0,Mid (6-15 yrs)
PHY100087,Advocates (High Adopters),Primary Care,Northeast,2 - Standard,Not adopted,7.3,0,153.0,11.0,142.0,5,High (4+/qtr),19.0,Low,61.5,46.4,74.0,Medium ($50-100),17.8,22.0,Senior (16+ yrs)
PHY100088,Advocates (High Adopters),Cardiology,Northeast,1 - Preferred (low copay),Not adopted,23.5,0,226.0,53.0,173.0,6,High (4+/qtr),25.2,Low,40.4,49.3,25.0,Low ($0-50),51.1,13.0,Mid (6-15 yrs)
PHY100089,Access-Constrained,Primary Care,South,2 - Standard,Not adopted,1.1,0,229.0,3.0,226.0,1,Low (0-1/qtr),0.0,Low,39.3,72.1,97.0,Medium ($50-100),40.8,9.0,Mid (6-15 yrs)
PHY100090,Access-Constrained,Cardiology,Midwest,2 - Standard,Not adopted,6.7,0,148.0,10.0,138.0,2,Medium (2-3/qtr),63.1,Medium,23.1,56.2,81.0,Medium ($50-100),55.2,10.0,Mid (6-15 yrs)
PHY100091,"White Space (High Potential, Under-Engaged)",Primary Care,West,1 - Preferred (low copay),Not adopted,7.1,0,156.0,11.0,145.0,0,Low (0-1/qtr),44.2,Medium,38.6,28.9,44.0,Low ($0-50),37.3,23.0,Senior (16+ yrs)
PHY100092,"White Space (High Potential, Under-Engaged)",Primary Care,Midwest,1 - Preferred (low copay),Not adopted,4.7,0,212.0,10.0,202.0,1,Low (0-1/qtr),46.4,Medium,73.5,82.5,54.0,Medium ($50-100),16.9,18.0,Senior (16+ yrs)
PHY100093,Access-Constrained,Endocrinology,Northeast,2 - Standard,Not adopted,1.2,0,130.0,2.0,128.0,1,Low (0-1/qtr),12.8,Low,51.8,44.1,113.0,High ($100+),52.5,11.0,Mid (6-15 yrs)
PHY100094,Advocates (High Adopters),Endocrinology,South,2 - Standard,Not adopted,5.0,0,155.0,8.0,147.0,4,High (4+/qtr),25.8,Low,35.2,40.9,60.0,Medium ($50-100),32.4,12.0,Mid (6-15 yrs)
PHY100095,"White Space (High Potential, Under-Engaged)",Primary Care,West,2 - Standard,Not adopted,17.3,0,185.0,32.0,153.0,2,Medium (2-3/qtr),39.5,Medium,74.7,0.0,64.0,Medium ($50-100),43.1,3.0,Early (0-5 yrs)
PHY100096,"White Space (High Potential, Under-Engaged)",Endocrinology,Midwest,1 - Preferred (low copay),Not adopted,5.8,0,240.0,14.0,226.0,1,Low (0-1/qtr),35.2,Medium,38.3,62.7,91.0,Medium ($50-100),28.3,17.0,Senior (16+ yrs)
PHY100097,Access-Constrained,Cardiology,Northeast,2 - Standard,Not adopted,4.0,0,144.0,6.0,138.0,2,Medium (2-3/qtr),52.6,Medium,78.4,52.0,87.0,Medium ($50-100),62.7,2.0,Early (0-5 yrs)
PHY100098,Access-Constrained,Cardiology,Northeast,2 - Standard,Not adopted,10.4,0,69.0,7.0,62.0,1,Low (0-1/qtr),62.8,Medium,78.1,52.0,102.0,High ($100+),24.9,19.0,Senior (16+ yrs)
PHY100099,Access-Constrained,Internal Medicine,South,2 - Standard,Adopted,19.7,1,65.0,13.0,52.0,2,Medium (2-3/qtr),99.9,High,51.1,41.9,95.0,Medium ($50-100),32.9,15.0,Mid (6-15 yrs)
PHY100100,Access-Constrained,Internal Medicine,South,2 - Standard,Not adopted,1.9,0,104.0,2.0,102.0,1,Low (0-1/qtr),49.6,Medium,20.0,38.5,84.0,Medium ($50-100),39.6,31.0,Senior (16+ yrs)
PHY100101,Advocates (High Adopters),Primary Care,Midwest,1 - Preferred (low copay),Adopted,64.5,1,101.0,65.0,36.0,6,High (4+/qtr),74.5,High,95.8,42.6,51.0,Medium ($50-100),21.6,6.0,Mid (6-15 yrs)
PHY100102,Access-Constrained,Endocrinology,Northeast,3 - Restricted (high copay),Not adopted,1.2,0,171.0,2.0,169.0,1,Low (0-1/qtr),31.7,Low,57.7,59.3,131.0,High ($100+),43.0,13.0,Mid (6-15 yrs)
PHY100103,Access-Constrained,Internal Medicine,South,1 - Preferred (low copay),Not adopted,1.3,0,109.0,1.0,108.0,2,Medium (2-3/qtr),13.2,Low,43.5,62.8,89.0,Medium ($50-100),62.2,27.0,Senior (16+ yrs)
PHY100104,Access-Constrained,Primary Care,West,2 - Standard,Not adopted,6.1,0,138.0,8.0,130.0,2,Medium (2-3/qtr),42.2,Medium,69.1,45.4,112.0,High ($100+),30.6,22.0,Senior (16+ yrs)
PHY100105,"White Space (High Potential, Under-Engaged)",Primary Care,South,1 - Preferred (low copay),Not adopted,11.1,0,134.0,15.0,119.0,3,Medium (2-3/qtr),14.9,Low,64.0,69.0,30.0,Low ($0-50),43.9,9.0,Mid (6-15 yrs)
PHY100106,Access-Constrained,Primary Care,South,2 - Standard,Not adopted,4.9,0,154.0,8.0,146.0,2,Medium (2-3/qtr),50.3,Medium,76.2,48.4,118.0,High ($100+),5.0,16.0,Senior (16+ yrs)
PHY100107,Advocates (High Adopters),Endocrinology,Northeast,1 - Preferred (low copay),Not adopted,20.6,0,259.0,53.0,206.0,5,High (4+/qtr),32.8,Low,36.8,39.9,51.0,Medium ($50-100),37.4,14.0,Mid (6-15 yrs)
PHY100108,Access-Constrained,Cardiology,Midwest,3 - Restricted (high copay),Not adopted,2.7,0,220.0,6.0,214.0,3,Medium (2-3/qtr),7.0,Low,56.4,54.0,91.0,Medium ($50-100),33.3,16.0,Senior (16+ yrs)
PHY100109,Access-Constrained,Internal Medicine,Midwest,2 - Standard,Not adopted,8.2,0,181.0,15.0,166.0,3,Medium (2-3/qtr),88.2,High,26.3,22.8,81.0,Medium ($50-100),25.7,9.0,Mid (6-15 yrs)
PHY100110,Advocates (High Adopters),Primary Care,South,2 - Standard,Not adopted,2.6,0,152.0,4.0,148.0,8,High (4+/qtr),38.2,Medium,63.3,54.7,106.0,High ($100+),54.2,13.0,Mid (6-15 yrs)
PHY100111,Advocates (High Adopters),Cardiology,West,1 - Preferred (low copay),Not adopted,7.9,0,154.0,12.0,142.0,4,High (4+/qtr),14.0,Low,49.5,19.2,74.0,Medium ($50-100),33.1,3.0,Early (0-5 yrs)
PHY100112,"White Space (High Potential, Under-Engaged)",Endocrinology,West,1 - Preferred (low copay),Adopted,48.4,1,200.0,97.0,103.0,4,High (4+/qtr),69.8,High,55.6,29.4,54.0,Medium ($50-100),35.3,15.0,Mid (6-15 yrs)
